GuidelineID;ConfigurationParameter;Target_Value;Default_Value;Is desired value the default?;ActionType;Negative Functional Impact;PowerCLI Command Assessment;PowerCLI Command Remediation;Able to set using Host Profile;Reference
VM.disable-console-copy;isolation.tools.copy.disable;TRUE;Null;No;Add;This is the default setting so functionality remains the same;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.copy.disable"" | where {$_.value -eq ""false""} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.copy.disable"" -value $true";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-367D02C1-B71F-4AC3-AA05-85033136A667.html"
VM.disable-console-drag-n-drop;isolation.tools.dnd.disable;True;Null;No;Audit Only;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.dnd.disable"" | where {$_.value –eq “false”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.dnd.disable"" -value $true";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-367D02C1-B71F-4AC3-AA05-85033136A667.html"
VM.disable-console-gui-options;isolation.tools.setGUIOptions.enable;FALSE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name  ""isolation.tools.setGUIOptions.enable"" | where {$_.value –eq “false”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.setGUIOptions.enable"" -value $false";N/A;
VM.disable-console-paste;isolation.tools.paste.disable;TRUE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.paste.disable"" | where {$_.value –eq “false”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.paste.disable"" -value $true";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-367D02C1-B71F-4AC3-AA05-85033136A667.html"
VM.disable-disk-shrinking-shrink;isolation.tools.diskShrink.disable;TRUE;Null;No;Add;Inability to shrink virtual machine disks in the event that a datastore runs out of space.;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.diskShrink.disable"" | where {$_.value –eq “false”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskShrink.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-9610FE65-3A78-4982-8C28-5B34FEB264B6.html
VM.disable-disk-shrinking-wiper;isolation.tools.diskWiper.disable;TRUE;Null;No;Add;Inability to shrink virtual machine disks in the event that a datastore runs out of space.;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.diskWiper.disable"" | where {$_.value –eq “false”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.diskWiper.disable"" -value $true";N/A;"
http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-9610FE65-3A78-4982-8C28-5B34FEB264B6.html"
VM.disable-hgfs;isolation.tools.hgfsServerSet.disable;TRUE;Null;No;Add;This will cause the VMX process to not respond to commands from the tools process, this may have a negative impact on operations such as automated tools upgrades;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.hgfsServerSet.disable"" | where {$_.value –eq “false”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.hgfsServerSet.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-76EF6146-FA0E-467F-826F-C953815218C5.html
VM.disable-independent-nonpersistent;scsiX:Y.mode;One of the following: * Not present (defaults to Persistent if blank) * Explicitly set to Persistent *Set to Independent-Persistent;Persistent;No;Add;Won’t be able to make use of nonpersistent mode, which allows rollback to a known state when rebooting the VM.;"#List the VM's and their disk types
Get-VM | Get-HardDisk | where {$_.Persistence –ne “Persistent”} | Select Parent, Name, Filename, DiskType, Persistence";"#Alter the parameters for the following cmdlet to set the VM Disk Type:
Get-VM  | Get-HardDisk | Set-HardDisk";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-1E583D6D-77C7-402E-9907-80B7F478D3FC.html"
VM.disable-unexposed-features-autologon;isolation.tools.ghi.autologon.disable;TRUE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.ghi.autologon.disable""| where {$_.Value –eq “True”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.ghi.autologon.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-60E83710-8295-41A2-9C9D-83DEBB6872C2.html
VM.disable-unexposed-features-biosbbs;isolation.bios.bbs.disable;TRUE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.bios.bbs.disable""| where {$_.Value –eq “False”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.bios.bbs.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-60E83710-8295-41A2-9C9D-83DEBB6872C2.html
VM.disable-unexposed-features-getcreds;isolation.tools.getCreds.disable;TRUE;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.getCreds.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.getCreds.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-60E83710-8295-41A2-9C9D-83DEBB6872C2.html
